Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:05:15.249  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |11YQS01CT001XQ01|11YQS02CT001XQ01|11YQS03CT001XQ01|11YQS04CT001XQ01|11YQS05CT001XQ01|11YQS06CT001XQ01|11YQS07CT001XQ01|11YQS08CT001XQ01|11YQS09CT001XQ01|11YQS10CT001XQ01|11YQS11CT001XQ01|11YQS12CT001XQ01|11YQS13CT001XQ01|11YQS14CT001XQ01|11YQS15CT001XQ01|11YQS16CT001XQ01|11YQS17CT001XQ01|11YQS18CT001XQ01|11YQS19CT001XQ01|11YQS20CT001XQ01|11YQS21CT001XQ01|11YQS22CT001XQ01|11YQS23CT001XQ01|11YQS51CT001XQ01|11YQS52CT001XQ01|12YQS24CT001XQ01|12YQS25CT001XQ01|12YQS26CT001XQ01|12YQS27CT001XQ01|12YQS28CT001XQ01|12YQS29CT001XQ01|12YQS30CT001XQ01|12YQS31CT001XQ01|12YQS32CT001XQ01|12YQS33CT001XQ01|12YQS34CT001XQ01|12YQS35CT001XQ01|12YQS36CT001XQ01|12YQS37CT001XQ01|12YQS38CT001XQ01|12YQS39CT001XQ01|12YQS40CT001XQ01|12YQS41CT001XQ01|12YQS42CT001XQ01|12YQS43CT001XQ01|12YQS44CT001XQ01|12YQS45CT001XQ01|12YQS46CT001XQ01|12YQS53CT001XQ01|12YQS54CT001XQ01|
08.07.2013 08:03:20.000 |293.56          |290.54          |291.16          |290.59          |290.74          |293.35          |290.53          |291.55          |291.03          |290.82          |290.88          |290.75          |291.58          |290.67          |291.46          |291.24          |290.96          |291.74          |291.16          |290.77          |291.46          |291.68          |290.81          |0.000           |0.000           |290.85          |291.08          |291.21          |291.42          |291.54          |290.86          |291.24          |291.32          |290.87          |290.94          |291.25          |291.35          |289.90          |292.87          |291.59          |291.31          |298.87          |291.12          |290.69          |290.99          |291.20          |291.70          |290.82          |0.000           |0.000           |
08.07.2013 08:03:30.000 |293.51          |290.48          |291.16          |290.59          |290.74          |293.29          |290.30          |291.50          |291.06          |290.76          |290.91          |290.72          |291.55          |290.72          |291.38          |291.18          |290.96          |291.74          |291.13          |290.88          |291.38          |291.59          |290.69          |0.000           |0.000           |290.80          |291.08          |291.21          |291.36          |291.51          |290.83          |291.30          |291.15          |290.81          |290.97          |291.19          |291.35          |289.87          |292.81          |291.44          |291.19          |298.87          |291.14          |290.69          |290.90          |291.06          |291.67          |290.67          |0.000           |0.000           |
08.07.2013 08:03:40.000 |293.45          |290.45          |291.10          |290.59          |290.65          |293.30          |290.21          |291.53          |290.95          |290.70          |290.91          |290.69          |291.46          |290.75          |291.32          |291.23          |290.90          |291.71          |291.11          |290.94          |291.29          |291.62          |290.57          |0.000           |0.000           |290.74          |291.05          |291.18          |291.33          |291.48          |290.71          |291.34          |291.09          |290.78          |290.88          |291.16          |291.29          |289.81          |292.90          |291.32          |291.25          |298.81          |291.09          |290.69          |290.81          |291.03          |291.73          |290.58          |0.000           |0.000           |
08.07.2013 08:03:50.000 |293.42          |290.48          |291.19          |290.67          |290.71          |293.35          |290.24          |291.50          |291.03          |290.67          |290.96          |290.75          |291.52          |290.81          |291.35          |291.29          |290.90          |291.74          |291.13          |291.00          |291.35          |291.68          |290.66          |0.000           |0.000           |290.77          |291.11          |291.18          |291.36          |291.54          |290.77          |291.36          |291.03          |290.75          |290.94          |291.16          |291.38          |289.87          |292.93          |291.32          |291.25          |298.87          |291.15          |290.78          |290.84          |291.09          |291.79          |290.76          |0.000           |0.000           |
08.07.2013 08:04:00.000 |293.51          |290.54          |291.10          |290.50          |290.63          |293.29          |290.36          |291.47          |290.97          |290.79          |290.82          |290.69          |291.46          |290.64          |291.37          |291.15          |290.93          |291.68          |291.11          |290.68          |291.37          |291.56          |290.80          |0.000           |0.000           |290.80          |291.02          |291.18          |291.34          |291.45          |290.77          |291.19          |291.21          |290.81          |290.91          |291.22          |291.26          |289.81          |292.81          |291.44          |291.19          |298.81          |291.09          |290.58          |290.95          |291.23          |291.64          |290.70          |0.000           |0.000           |
08.07.2013 08:04:10.000 |293.51          |290.57          |291.16          |290.62          |290.77          |293.35          |290.44          |291.50          |291.03          |290.79          |290.99          |290.75          |291.58          |290.73          |291.49          |291.26          |290.99          |291.74          |291.16          |290.80          |291.46          |291.60          |290.75          |0.000           |0.000           |290.83          |291.11          |291.21          |291.37          |291.51          |290.86          |291.31          |291.18          |290.89          |290.94          |291.28          |291.38          |289.93          |292.84          |291.50          |291.28          |298.90          |291.17          |290.66          |290.99          |291.23          |291.70          |290.73          |0.000           |0.000           |
08.07.2013 08:04:20.000 |293.54          |290.57          |291.16          |290.64          |290.71          |293.41          |290.55          |291.58          |291.09          |290.79          |290.96          |290.78          |291.58          |290.75          |291.49          |291.29          |290.99          |291.77          |291.16          |290.83          |291.52          |291.68          |290.72          |0.000           |0.000           |290.88          |291.14          |291.23          |291.42          |291.54          |290.89          |291.28          |291.32          |290.89          |291.00          |291.28          |291.38          |289.93          |292.93          |291.47          |291.34          |298.93          |291.17          |290.72          |291.01          |291.26          |291.79          |290.82          |0.000           |0.000           |
08.07.2013 08:04:30.000 |293.51          |290.51          |291.04          |290.56          |290.68          |293.26          |290.44          |291.49          |290.95          |290.79          |290.82          |290.69          |291.49          |290.61          |291.40          |291.06          |290.90          |291.65          |291.08          |290.68          |291.37          |291.56          |290.78          |0.000           |0.000           |290.83          |291.05          |291.15          |291.34          |291.45          |290.80          |291.16          |291.24          |290.84          |290.88          |291.22          |291.26          |289.84          |292.81          |291.55          |291.22          |298.81          |291.12          |290.61          |290.98          |291.20          |291.64          |290.70          |0.000           |0.000           |
08.07.2013 08:04:40.000 |293.45          |290.45          |290.98          |290.47          |290.60          |293.24          |290.41          |291.44          |290.89          |290.73          |290.82          |290.63          |291.43          |290.58          |291.34          |291.11          |290.84          |291.60          |290.99          |290.57          |291.34          |291.51          |290.83          |0.000           |0.000           |290.74          |290.96          |291.06          |291.28          |291.40          |290.74          |291.07          |291.21          |290.81          |290.79          |291.16          |291.18          |289.78          |292.73          |291.53          |291.19          |298.73          |291.06          |290.49          |290.93          |291.23          |291.58          |290.76          |0.000           |0.000           |
08.07.2013 08:04:50.000 |293.42          |290.45          |291.07          |290.53          |290.60          |293.24          |290.29          |291.44          |290.95          |290.64          |290.84          |290.66          |291.43          |290.64          |291.29          |291.17          |290.87          |291.65          |291.02          |290.74          |291.29          |291.51          |290.52          |0.000           |0.000           |290.65          |291.05          |291.09          |291.28          |291.42          |290.68          |291.28          |290.95          |290.75          |290.85          |291.13          |291.23          |289.75          |292.79          |291.23          |291.14          |298.78          |291.06          |290.61          |290.84          |290.97          |291.64          |290.44          |0.000           |0.000           |
08.07.2013 08:05:00.000 |293.48          |290.51          |291.04          |290.47          |290.54          |293.21          |290.35          |291.46          |290.97          |290.73          |290.73          |290.61          |291.43          |290.58          |291.32          |291.11          |290.90          |291.65          |291.05          |290.62          |291.29          |291.57          |290.75          |0.000           |0.000           |290.77          |291.02          |291.18          |291.28          |291.42          |290.71          |291.13          |291.18          |290.75          |290.88          |291.16          |291.26          |289.75          |292.76          |291.44          |291.19          |298.81          |291.03          |290.52          |290.90          |291.11          |291.61          |290.70          |0.000           |0.000           |
08.07.2013 08:05:10.000 |293.51          |290.54          |291.10          |290.59          |290.65          |293.26          |290.38          |291.46          |290.97          |290.79          |290.84          |290.70          |291.49          |290.72          |291.37          |291.11          |290.93          |291.71          |291.11          |290.71          |291.37          |291.51          |290.78          |0.000           |0.000           |290.83          |291.08          |291.18          |291.37          |291.51          |290.83          |291.31          |291.12          |290.78          |290.91          |291.25          |291.26          |289.84          |292.79          |291.47          |291.19          |298.84          |291.15          |290.61          |290.98          |291.17          |291.58          |290.76          |0.000           |0.000           |
08.07.2013 08:05:20.000 |293.60          |290.62          |291.19          |290.62          |290.71          |293.35          |290.55          |291.61          |291.09          |290.90          |290.90          |290.78          |291.61          |290.69          |291.49          |291.20          |291.02          |291.80          |291.20          |290.71          |291.49          |291.65          |291.03          |0.000           |0.000           |290.88          |291.16          |291.26          |291.42          |291.54          |290.91          |291.34          |291.32          |290.93          |291.00          |291.33          |291.32          |289.93          |292.84          |291.70          |291.34          |298.90          |291.23          |290.63          |291.16          |291.43          |291.73          |290.84          |0.000           |0.000           |
