Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:06:53.107  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |10YQR01FT002XQ02|10YQR02FT002XQ02|10YQR03FT002XQ02|10YQR04FT002XQ02|10YQR05FT002XQ02|10YQR06FT002XQ02|10YQR07FT002XQ02|10YQR08FT002XQ02|10YQR09FT002XQ02|10YQR10FT002XQ02|10YQR11FT002XQ02|10YQR12FT002XQ02|10YQR13FT002XQ02|10YQR14FT002XQ02|10YQR15FT002XQ02|10YQR16FT002XQ02|10YQR17FT002XQ02|10YQR18FT002XQ02|10YQR19FT002XQ02|10YQR20FT002XQ02|10YQR21FT002XQ02|10YQR22FT002XQ02|10YQR23FT002XQ02|10YQR24FT002XQ02|10YQR25FT002XQ02|10YQR26FT002XQ02|10YQR27FT002XQ02|10YQR28FT002XQ02|10YQR29FT002XQ02|10YQR30FT002XQ02|10YQR31FT002XQ02|10YQR32FT002XQ02|10YQR33FT002XQ02|10YQR34FT002XQ02|10YQR35FT002XQ02|10YQR36FT002XQ02|10YQR37FT002XQ02|10YQR38FT002XQ02|10YQR39FT002XQ02|10YQR40FT002XQ02|10YQR41FT002XQ02|10YQR42FT002XQ02|10YQR43FT002XQ02|10YQR44FT002XQ02|10YQR45FT002XQ02|10YQR46FT002XQ02|10YQR51FT002XQ02|10YQR52FT002XQ02|10YQR53FT002XQ02|10YQR54FT002XQ02|
08.07.2013 08:03:20.000 |27.481          |29.860          |31.286          |31.426          |32.291          |32.479          |29.499          |28.874          |25.935          |28.929          |32.741          |31.204          |33.188          |29.375          |34.898          |28.256          |32.033          |30.720          |33.505          |29.098          |28.980          |31.685          |27.781          |26.466          |31.836          |32.299          |25.802          |31.321          |30.279          |32.571          |30.512          |30.619          |28.144          |29.109          |31.444          |23.451          |37.767          |29.853          |27.266          |28.201          |34.366          |29.052          |32.233          |30.170          |29.841          |27.088          |30.650          |32.235          |29.604          |22.064          |
08.07.2013 08:03:30.000 |27.579          |29.762          |31.393          |31.426          |32.451          |32.408          |29.593          |28.812          |26.094          |29.088          |32.732          |31.194          |32.974          |29.360          |34.791          |28.613          |32.023          |30.708          |33.605          |29.309          |28.877          |31.560          |27.533          |26.395          |31.722          |32.408          |25.593          |31.623          |30.240          |32.500          |30.519          |30.573          |28.244          |29.204          |31.434          |23.525          |36.553          |30.010          |27.254          |28.101          |34.349          |29.070          |32.651          |30.044          |29.941          |27.019          |30.497          |32.109          |29.536          |22.109          |
08.07.2013 08:03:40.000 |27.548          |29.884          |31.326          |31.426          |32.368          |32.563          |29.514          |29.065          |25.920          |29.084          |32.644          |31.194          |32.972          |29.566          |34.817          |28.980          |31.819          |30.504          |33.574          |29.512          |28.892          |31.899          |27.504          |26.467          |31.684          |32.489          |25.845          |31.733          |30.035          |32.601          |30.538          |30.490          |28.223          |29.202          |31.315          |23.578          |37.922          |29.948          |27.345          |28.097          |34.458          |29.209          |32.447          |30.162          |29.963          |27.244          |30.636          |32.219          |29.416          |21.971          |
08.07.2013 08:03:50.000 |27.546          |29.884          |31.326          |31.531          |32.527          |32.512          |29.569          |28.888          |26.092          |28.878          |32.758          |31.194          |33.396          |29.666          |34.674          |28.288          |31.963          |30.927          |33.369          |29.564          |28.984          |31.894          |27.589          |26.467          |31.793          |32.406          |25.612          |31.642          |30.319          |32.724          |30.461          |30.513          |28.294          |29.178          |31.626          |23.747          |37.859          |29.924          |27.394          |28.006          |34.343          |29.379          |32.584          |30.035          |29.963          |26.894          |30.661          |32.071          |29.441          |21.956          |
08.07.2013 08:04:00.000 |27.467          |29.962          |31.247          |31.416          |32.356          |32.490          |29.514          |28.892          |26.061          |29.112          |32.753          |31.216          |33.145          |29.412          |34.904          |28.438          |31.847          |31.163          |33.891          |29.284          |28.928          |31.758          |27.734          |26.475          |31.876          |32.373          |25.703          |31.910          |30.151          |32.414          |30.380          |30.692          |28.182          |29.123          |31.717          |23.522          |36.836          |30.089          |27.216          |28.212          |34.424          |29.125          |32.872          |30.126          |29.626          |27.181          |30.580          |32.277          |29.446          |22.130          |
08.07.2013 08:04:10.000 |27.342          |29.865          |31.329          |31.526          |32.701          |32.622          |29.538          |29.002          |25.825          |29.103          |32.924          |31.216          |33.334          |29.638          |34.839          |28.481          |31.988          |31.009          |33.680          |29.244          |28.981          |31.758          |27.838          |26.555          |31.784          |32.452          |25.786          |31.791          |30.291          |32.461          |30.605          |30.735          |28.211          |29.287          |31.770          |23.511          |37.887          |29.910          |27.337          |28.063          |34.424          |29.064          |32.124          |30.126          |29.941          |27.210          |30.777          |32.323          |29.406          |22.128          |
08.07.2013 08:04:20.000 |27.636          |29.873          |31.292          |31.415          |32.430          |32.610          |29.544          |28.863          |26.174          |28.768          |32.696          |31.194          |33.264          |29.441          |34.826          |28.409          |31.846          |30.731          |33.610          |29.252          |28.870          |31.709          |27.531          |26.461          |31.738          |32.288          |25.590          |31.449          |30.177          |32.554          |30.463          |30.685          |28.315          |29.091          |31.571          |23.754          |36.928          |29.996          |27.277          |28.079          |34.436          |29.125          |32.730          |30.166          |29.937          |27.300          |30.660          |32.274          |29.565          |22.199          |
08.07.2013 08:04:30.000 |27.672          |29.866          |31.223          |31.415          |32.253          |32.467          |29.542          |28.871          |25.991          |28.940          |32.700          |31.096          |32.913          |29.380          |34.911          |29.090          |32.006          |30.674          |33.573          |29.174          |28.964          |31.651          |27.740          |26.485          |31.842          |32.334          |25.608          |31.736          |30.195          |32.383          |30.692          |30.674          |28.187          |29.206          |31.507          |23.574          |37.786          |29.996          |27.208          |28.141          |34.332          |29.183          |32.545          |30.166          |29.584          |27.193          |30.689          |32.339          |29.558          |22.137          |
08.07.2013 08:04:40.000 |27.966          |29.888          |31.058          |31.507          |32.289          |32.557          |29.554          |28.993          |25.922          |29.195          |32.760          |31.194          |33.214          |29.421          |34.931          |29.048          |31.919          |31.004          |33.668          |29.086          |29.077          |31.735          |27.652          |26.485          |31.876          |32.392          |25.845          |31.608          |30.290          |32.598          |30.564          |30.748          |28.187          |29.269          |31.444          |23.703          |36.892          |30.089          |27.311          |28.158          |34.437          |28.984          |31.973          |30.264          |30.010          |27.245          |30.618          |32.420          |29.659          |22.546          |
08.07.2013 08:04:50.000 |27.667          |29.957          |31.356          |31.507          |32.277          |32.691          |29.539          |28.863          |26.175          |29.314          |32.780          |31.190          |32.830          |29.496          |34.790          |28.459          |31.961          |30.734          |33.603          |29.571          |28.956          |31.732          |27.763          |26.532          |31.876          |32.548          |25.622          |31.738          |30.381          |32.786          |30.578          |30.603          |28.330          |29.266          |31.660          |23.519          |36.811          |30.089          |27.418          |28.070          |34.429          |29.180          |32.896          |29.982          |30.112          |27.245          |30.720          |32.474          |29.732          |22.129          |
